001_cleaned.wav|You want it, don't you?
002_cleaned.wav|Maybe I should grow a little more. Or is this just right?
003_cleaned.wav|Am I really doing this?
004_cleaned.wav|I'm not really up to this...
005_cleaned.wav|Maybe I'll show this off.
006_cleaned.wav|Do you really want it that much?
007_cleaned.wav|I hope you won't regret this.
008_cleaned.wav|Whatever happens, it won't be on me.
009_cleaned.wav|You want something like this?
010_cleaned.wav|I'll try my best.
011_cleaned.wav|Come on, you gotta want it!
012_cleaned.wav|I think you're overdoing it.
013_cleaned.wav|Fine, whatever.
014_cleaned.wav|I thought it would turn out to be something like this.
015_cleaned.wav|Okay, all done.
016_cleaned.wav|Enjoy.
017_cleaned.wav|Here you go.
018_cleaned.wav|Whatever!
019_cleaned.wav|Okay, okay.
020_cleaned.wav|Was...that all it took to satisfy you?
021_cleaned.wav|I'm going to attack because I have no choice. This is my arrow of love that calls forth passion! Kama Sammohana!
022_cleaned.wav|What!? Really!? Are you serious!? (Sigh) ...Fine, fine. Here...Kama Sammohana.
023_cleaned.wav|Should you be lounging around right now? You're actually kind of a slob, aren't you, Master?
024_cleaned.wav|Did you know? There was even power harassment between gods. Seriously, can you believe that?
025_cleaned.wav|I can smell the stench of a Shiva-type... Can you tell them not to come near me?
026_cleaned.wav|What I dislike? That goddess whose head is stuffed and full of love, and her husband. Obviously.
027_cleaned.wav|Everyone seems to be in high spirits. It's pissing me off, so let's go stir up some trouble. Now.
028_cleaned.wav|Are you asking me to get even prettier? Ufufufu...got it.
029_cleaned.wav|Maybe I'll seduce you in my grow-up form from now on. I'll have you know that this alluring form......is dangerous.
030_cleaned.wav|
